parcelle_id,date,culture,rendement_estime,rendement_final,progression
P001,2020-01-31,Ble,0.0,0.0,0.0
P001,2020-02-29,Ble,0.83,0.10042999999999999,12.1
P001,2020-03-31,Ble,1.61,0.4025,25.0
P001,2020-04-30,Mais,0.0,0.0,0.0
P001,2020-05-31,Mais,1.6,0.2752,17.2
P001,2020-06-30,Mais,3.41,1.1559899999999999,33.9
P001,2020-07-31,Mais,4.19,2.14109,51.1
P001,2020-08-31,Mais,5.82,3.97506,68.3
P001,2020-09-30,Mais,7.65,6.5025,85.0
P001,2020-10-31,Tournesol,0.0,0.0,0.0
P001,2020-11-30,Tournesol,0.6,0.12,20.0
P001,2020-12-31,Tournesol,1.2,0.4884,40.7
P001,2021-01-31,Tournesol,1.92,1.17696,61.3
P001,2021-02-28,Tournesol,2.81,2.248,80.0
P001,2021-03-31,Tournesol,3.48,3.166174628524435,100.0
P001,2021-04-30,Tournesol,3.33,3.166174628524435,100.0
P001,2021-05-31,Tournesol,3.19,3.166174628524435,100.0
P001,2021-06-30,Tournesol,2.99,3.166174628524435,100.0
P001,2021-07-31,Tournesol,2.9,3.166174628524435,100.0
P001,2021-08-31,Tournesol,3.25,3.166174628524435,100.0
P001,2021-09-30,Tournesol,2.95,3.166174628524435,100.0
P001,2021-10-31,Mais,0.0,3.2700257666411265,0.0
P001,2021-11-30,Mais,1.53,3.373876904757818,16.7
P001,2021-12-31,Mais,3.32,3.4777280428745097,33.9
P001,2022-01-31,Mais,4.89,3.581579180991201,51.1
P001,2022-02-28,Mais,6.98,3.685430319107893,66.7
P001,2022-03-31,Ble,0.0,3.7892814572245848,0.0
P001,2022-04-30,Mais,0.0,3.8931325953412763,0.0
P001,2022-05-31,Mais,1.91,3.996983733457968,17.2
P001,2022-06-30,Mais,3.55,4.100834871574659,33.9
P001,2022-07-31,Mais,5.26,4.2046860096913505,51.1
P001,2022-08-31,Mais,6.7,4.3085371478080425,68.3
P001,2022-09-30,Mais,8.4,4.4123882859247345,85.0
